	video_id	publishe_date	channel_id	title	channel_title	check_title	all_channels_view_count	channel_subscriber_count	channel_video_count	view_count	like_count	dislike_count	comment_count	avg_views_per_subsriber	avg_vieods_views_per_subsriber	likes_views_on	comments_views_on	likes_on_dislikes
0	OKa4hhd4alc	2020-01-31	UCKMeh2DHG8TTEdvCozVUvww	Мир Приключений - Фильм: &quot;Камчатка. Жизнь на Краю Земли&quot; 4K. Лучший отдых на Камчатке.	МИР ПРИКЛЮЧЕНИЙ	3	14174373	42800	243	198841	2016	128	271	1.3628680627668166	4.645817757009346	0.01013875407989298	0.0013628979938745027	15.75
1	Zv4hIaVvFVI	2020-06-02	UCMCgOm8GZkHp8zJ6l7_hIuA	Камчатка – полуостров, про который забыли / вДудь	вДудь	3	1563320221	9630000	139	12595145	518158	15209	55564	1.1679032258305506	1.3079070612668744	0.04113950256229682	0.004411541113659271	34.06916957064896
2	LUG0lrzmIF0	2021-08-08	UCoeOyOjFhURWB0Khpuz3SVw	Камчатка — Здесь начинается Россия	Ян Буян - Путешествия	3	61931112	291000	61	4207519	16371	5117	1387	3.488880175764746	14.458828178694159	0.0038908915206324677	0.0003296479469254922	3.1993355481727574
3	qJLjnm7qS2I	2020-04-06	UCsA_vkmuyIRlYYXeJueyIJQ	&quot;Поедем, поедим!&quot;: Камчатка	НТВ	3	16263582773	14000000	52362	29328	398	46	84	0.02218564004021455	0.0020948571428571427	0.01357064920894708	0.0028641571194762683	8.652173913043478
4	HJtnQcoyeiM	2021-03-20	UCn-2MFxNi2hy4Vsvh_zAoPg	Часть 3 КАМЧАТКА действующие вулканы / volcanoes of KAMCHATKA. Part 3 VLOG 31	Olya Smeshlivaya	5	1214472	13700	49	2611	234	3	25	1.8091345151199165	0.1905839416058394	0.08962083492914592	0.009574875526618154	78.0
5	emyAKTNs8kI	2019-09-13	UC7-aVpTTrlajxkX9PuUUiCg	КАМЧАТКА, ЧТО ПОСМОТРЕТЬ | Traveling on Kamchatka	Dmitriy Panov	3	953899	5860	138	2693	86	1	32	1.1795753573725083	0.45955631399317404	0.03193464537690308	0.01188265874489417	86.0
6	sKFOiZCwRzE	2021-03-10	UCn-2MFxNi2hy4Vsvh_zAoPg	Часть 2 КАМЧАТКА на вертолёте. Exploring KAMCHATKA - Part 2 - VLOG #30	Olya Smeshlivaya	3	1214472	13700	49	5267	286	6	39	1.8091345151199165	0.38445255474452555	0.05430036073666224	0.007404594645908487	47.666666666666664
7	0xyj4hrwgco	2018-09-30	UCNbxRF3eqs_U1NoAtQ7kntQ	Камчатка. Вулкан Безымянный	Владимир Войчук	3	44195	113	9	792	29	0	1	43.456243854473946	7.008849557522124	0.036616161616161616	0.0012626262626262627	inf
8	lZz3tjjKRis	2018-10-08	UCc5M7WJbvz1w4Bj5j3V4oOw	Путешествия по России - 1819 год - Камчатка ТОМ 2	книгакоп рф	3	1488474	10000	355	249	9	0	0	0.4192884507042254	0.0249	0.03614457831325301	0.0	inf
9	SBRdmBo5gqo	2020-11-25	UCn-2MFxNi2hy4Vsvh_zAoPg	Часть 1 КАМЧАТКА осенью, океан / KAMCHATKA in the fall. Part 1  VLOG #29	Olya Smeshlivaya	3	1214472	13700	49	11004	644	17	97	1.8091345151199165	0.8032116788321167	0.058524173027989825	0.00881497637222828	37.88235294117647
10	7fhaYmLlK9g	2021-04-26	UCl1kcO4OFCIrG461cEVWuNA	Чем богат наш край? Камчатка	Aleksandr Petrovets	3	3669339	26600	442	8105	504	14	120	0.31209293028952473	0.30469924812030075	0.0621838371375694	0.014805675508945095	36.0
11	om9tAs02BGo	2018-11-06	UCkgdttljQG050F1xFYnbLFg	2018 Камчатка	Ivan Yakovlev	3	15848	77	17	745	34	0	3	12.106951871657754	9.675324675324676	0.04563758389261745	0.004026845637583893	inf
12	Z6NViODT-uQ	2018-08-28	UCDPsgaHvuQ-SAno1f-4JM_g	КАМЧАТКА. ЧАСТЬ 1. Петропавловск. Тихий Океан. Очень много комаров	Дмитрий Яковлев	3	28308	204	12	5199	111	5	18	11.563725490196079	25.485294117647058	0.021350259665320254	0.003462204270051933	22.2
13	fBropQWHgLQ	2019-04-22	UCwRAY93_P-z78b_vO-0FJQg	#Халатырка | #Камчатка | #Россия	BWC Studio	3	4454	0	20	391	19	0	4	inf	inf	0.04859335038363171	0.010230179028132993	inf
14	tc-jAay8v3Q	2018-01-26	UCG_pNA3vTUJdW_sQj1lUdXg	Извержение вулкана Плоский Толбачик. Камчатка. Невероятные подробности путешествия!Мой путь Выпуск 1	АллатРа путешествия	3	95832	0	20	5046	67	5	19	inf	inf	0.013277843836702339	0.0037653586999603647	13.4
15	5DuQwRmkTdQ	2019-04-21	UCZr9YPWd_SDUIjstcoiJEDQ	Kamchatka / Неизвестная Россия Камчатка / 4K Drone video	VertaVoyage	3	729844	1780	12	3489	55	4	20	34.1687265917603	1.9601123595505618	0.015763829177414732	0.005732301519059902	13.75
16	BClqwEaiPjU	2021-09-17	UCp-ejyJAQOG8e4E2oG5qHAw	Мое путешествие на Камчатку. Камчатка – заряд энергии на целый год, буря эмоций, новые впечатления	Тренажер Массажер для спины Древмасс Drevmass	3	1034725	5970	298	595	19	1	9	0.5816133238901442	0.09966499162479062	0.031932773109243695	0.015126050420168067	19.0
17	-mi2Nh0U4DI	2016-12-03	UCeffl9Y30umtpDDCAjZDsWw	Собирая дыханье легенд. Камчатка | Legends of Kamchatka	Авантюрист	3	529318	3720	60	571	18	0	3	2.371496415770609	0.153494623655914	0.03152364273204904	0.005253940455341506	inf
18	ud0dSO_vsIY	2020-09-23	UCwsz4cQ-7oBsL3dy__3SfuQ	REACTION to  Kamchatka. The Winter Surf Challenge \\ Камчатка от Timelab.pro 6K Drone video	MR badboy	3	10949865	29000	495	7023	519	1	18	0.762791013584117	0.24217241379310345	0.0739000427167877	0.0025630072618539087	519.0
19	OKa4hhd4alc	2020-01-31	UCKMeh2DHG8TTEdvCozVUvww	Мир Приключений - Фильм: &quot;Камчатка. Жизнь на Краю Земли&quot; 4K. Лучший отдых на Камчатке.	МИР ПРИКЛЮЧЕНИЙ	3	14174373	42800	243	198844	2016	128	271	1.3628680627668166	4.64588785046729	0.010138601114441472	0.0013628774315543844	15.75
20	Zv4hIaVvFVI	2020-06-02	UCMCgOm8GZkHp8zJ6l7_hIuA	Камчатка – полуостров, про который забыли / вДудь	вДудь	3	1563320221	9630000	139	12595145	518158	15209	55564	1.1679032258305506	1.3079070612668744	0.04113950256229682	0.004411541113659271	34.06916957064896
21	LUG0lrzmIF0	2021-08-08	UCoeOyOjFhURWB0Khpuz3SVw	Камчатка — Здесь начинается Россия	Ян Буян - Путешествия	3	61931112	291000	61	4207520	16371	5117	1387	3.488880175764746	14.458831615120275	0.003890890595885462	0.0003296478685781648	3.1993355481727574
22	8URVPg0lv1k	2015-05-29	UCFb4KqroPCx5Mxu7V-4GT-w	Камчатка (Kamchatka) Такой Камчатку ты  не видел никогда!	Нашими глазами	3	1133777	8800	87	34009	460	21	9	1.480899947753396	3.864659090909091	0.013525831397571231	0.000264635831691611	21.904761904761905
23	7fhaYmLlK9g	2021-04-26	UCl1kcO4OFCIrG461cEVWuNA	Чем богат наш край? Камчатка	Aleksandr Petrovets	3	3669339	26600	442	8105	504	14	120	0.31209293028952473	0.30469924812030075	0.0621838371375694	0.014805675508945095	36.0
24	EUvx_IKs9eI	2019-01-11	UCWaXzTOMpjuC4XxmcdvgaEQ	Тайны полуострова Камчатка. Загадка озера Колигер ( Калыгирь ) // The main mystery of Kamchatka	Неизвестный Дальний Восток	3	375243	3960	84	4962	211	7	29	1.128075396825397	1.253030303030303	0.04252317613865377	0.0058444175735590485	30.142857142857142
25	vw6ED63TY9o	2020-08-17	UCl1kcO4OFCIrG461cEVWuNA	Лучший летний отдых с детьми. Аквапарк. Где отдохнуть с детьми? Аквапарк Чудо остров Камчатка	Aleksandr Petrovets	3	3669339	26600	442	2168	196	4	0	0.31209293028952473	0.08150375939849624	0.09040590405904059	0.0	49.0
26	Zv4hIaVvFVI	2020-06-02	UCMCgOm8GZkHp8zJ6l7_hIuA	Камчатка – полуостров, про который забыли / вДудь	вДудь	3	1563320221	9630000	139	12595145	518158	15209	55564	1.1679032258305506	1.3079070612668744	0.04113950256229682	0.004411541113659271	34.06916957064896
27	ftsb-9WAb8w	2019-02-14	UC0bwuabO4JHHa-BMs00pHnQ	КАМЧАТКА НА ГОРНЫХ СНЕГОХОДАХ. ОБУЧЕНИЕ НА SKI-DOO	Alexander Kondrashov	3	428897569	1530000	763	278862	11810	611	1091	0.3673987005199633	0.18226274509803922	0.04235069676040479	0.003912329395901915	19.328968903436987
28	emyAKTNs8kI	2019-09-13	UC7-aVpTTrlajxkX9PuUUiCg	КАМЧАТКА, ЧТО ПОСМОТРЕТЬ | Traveling on Kamchatka	Dmitriy Panov	3	953899	5860	138	2693	86	1	32	1.1795753573725083	0.45955631399317404	0.03193464537690308	0.01188265874489417	86.0
29	LUG0lrzmIF0	2021-08-08	UCoeOyOjFhURWB0Khpuz3SVw	Камчатка — Здесь начинается Россия	Ян Буян - Путешествия	3	61931112	291000	61	4207519	16371	5117	1387	3.488880175764746	14.458828178694159	0.0038908915206324677	0.0003296479469254922	3.1993355481727574
30	ud0dSO_vsIY	2020-09-23	UCwsz4cQ-7oBsL3dy__3SfuQ	REACTION to  Kamchatka. The Winter Surf Challenge \\ Камчатка от Timelab.pro 6K Drone video	MR badboy	3	10949865	29000	495	7023	519	1	18	0.762791013584117	0.24217241379310345	0.0739000427167877	0.0025630072618539087	519.0
31	Zv4hIaVvFVI	2020-06-02	UCMCgOm8GZkHp8zJ6l7_hIuA	Камчатка – полуостров, про который забыли / вДудь	вДудь	3	1563320221	9630000	139	12595145	518158	15209	55564	1.1679032258305506	1.3079070612668744	0.04113950256229682	0.004411541113659271	34.06916957064896
32	OKa4hhd4alc	2020-01-31	UCKMeh2DHG8TTEdvCozVUvww	Мир Приключений - Фильм: &quot;Камчатка. Жизнь на Краю Земли&quot; 4K. Лучший отдых на Камчатке.	МИР ПРИКЛЮЧЕНИЙ	3	14174373	42800	243	198841	2016	128	271	1.3628680627668166	4.645817757009346	0.01013875407989298	0.0013628979938745027	15.75
33	G_AuynX5j3w	2019-09-16	UCeUtR4sghOchzC7QXs0994A	КАМЧАТКА | #3-Поход на вулкан Мутновский.	ТриСестры	5	2079804	2410	21	28	0	0	0	41.09472436277416	0.011618257261410789	0.0	0.0	
34	Z6NViODT-uQ	2018-08-28	UCDPsgaHvuQ-SAno1f-4JM_g	КАМЧАТКА. ЧАСТЬ 1. Петропавловск. Тихий Океан. Очень много комаров	Дмитрий Яковлев	3	28308	204	12	5199	111	5	18	11.563725490196079	25.485294117647058	0.021350259665320254	0.003462204270051933	22.2
35	6dfoThyM3P4	2019-09-16	UCeUtR4sghOchzC7QXs0994A	КАМЧАТКА | #4 Поход на вулкан Горелый.	ТриСестры	5	2079745	2410	21	31	0	0	0	41.09355858525983	0.012863070539419087	0.0	0.0	
36	LUG0lrzmIF0	2021-08-08	UCoeOyOjFhURWB0Khpuz3SVw	Камчатка — Здесь начинается Россия	Ян Буян - Путешествия	3	61931112	291000	61	4207520	16371	5117	1387	3.488880175764746	14.458831615120275	0.003890890595885462	0.0003296478685781648	3.1993355481727574
37	SBRdmBo5gqo	2020-11-25	UCn-2MFxNi2hy4Vsvh_zAoPg	Часть 1 КАМЧАТКА осенью, океан / KAMCHATKA in the fall. Part 1  VLOG #29	Olya Smeshlivaya	3	1214472	13700	49	11004	644	17	97	1.8091345151199165	0.8032116788321167	0.058524173027989825	0.00881497637222828	37.88235294117647
38	fBropQWHgLQ	2019-04-22	UCwRAY93_P-z78b_vO-0FJQg	#Халатырка | #Камчатка | #Россия	BWC Studio	3	4454	0	20	391	19	0	4	inf	inf	0.04859335038363171	0.010230179028132993	inf
39	Jdf2Wf7nRsY	2019-09-16	UCeUtR4sghOchzC7QXs0994A	КАМЧАТКА | #6-Рыбалка на глубине 600 метров.	ТриСестры	3	2079804	2410	21	640	8	2	1	41.09472436277416	0.26556016597510373	0.0125	0.0015625	4.0
40	PZi5sVFRHV8	2019-09-16	UCeUtR4sghOchzC7QXs0994A	КАМЧАТКА | #5 Сплав по реке Быстрая.	ТриСестры	3	2079804	2410	21	117	2	1	0	41.09472436277416	0.04854771784232365	0.017094017094017096	0.0	2.0
41	U-oHhDHMqhU	2019-09-16	UCeUtR4sghOchzC7QXs0994A	КАМЧАТКА | #1-Приезд и размещение в гостевом доме.	ТриСестры	3	2079804	2410	21	37	0	0	0	41.09472436277416	0.015352697095435684	0.0	0.0	
42	om9tAs02BGo	2018-11-06	UCkgdttljQG050F1xFYnbLFg	2018 Камчатка	Ivan Yakovlev	3	15848	77	17	745	34	0	3	12.106951871657754	9.675324675324676	0.04563758389261745	0.004026845637583893	inf
43	0xyj4hrwgco	2018-09-30	UCNbxRF3eqs_U1NoAtQ7kntQ	Камчатка. Вулкан Безымянный	Владимир Войчук	3	44195	113	9	792	29	0	1	43.456243854473946	7.008849557522124	0.036616161616161616	0.0012626262626262627	inf
44	i9fpzt5f61I	2021-09-19	UCXKYrnfBesG5wEyglow0KQg	Камчатка. Восхождение на вулкан Острый Толбачик 3682 Плоский Толбачик, Авачинский и Корякский	Студия Ирбис	3	94049	758	119	217	22	0	5	1.0426487217578324	0.2862796833773087	0.10138248847926268	0.02304147465437788	inf
45	D5823KHRU40	2019-09-16	UCeUtR4sghOchzC7QXs0994A	КАМЧАТКА | #2-Рыбалка в Тихом Океане.	ТриСестры	3	2079804	2410	21	84	1	1	0	41.09472436277416	0.034854771784232366	0.011904761904761904	0.0	1.0
46	jyudHnVJkPA	2020-10-29	UCmCXByCelVA9BcO5CXhF8Jg	Камчатка: тихий крик о помощи	Дело за мной!	3	14681	433	3	7419	634	3	61	11.301770592763665	17.13394919168591	0.08545626095161073	0.008222132362852136	211.33333333333334
47	vw6ED63TY9o	2020-08-17	UCl1kcO4OFCIrG461cEVWuNA	Лучший летний отдых с детьми. Аквапарк. Где отдохнуть с детьми? Аквапарк Чудо остров Камчатка	Aleksandr Petrovets	3	3669339	26600	442	2168	196	4	0	0.31209293028952473	0.08150375939849624	0.09040590405904059	0.0	49.0
48	_HbEl-2n5AQ	2021-07-10	UCr2EXJtFMunvG0CmYE3Tj8A	НЕФТЬ и ЭКОЛОГИЯ. Спасут ли нас электромобили?	Асафьев Стас	3	254515088	1380000	341	7567341	336427	15362	55408	0.5408540269454716	5.483580434782609	0.044457756033460104	0.007321990643741309	21.899947923447467
49	EcKnuARxMIw	2019-09-12	UCsK1oV0PGkcZ1UhFtajx0dg	Экология. Перенаселение. Как мы дошли до предела.	Redroom	3	76622016	583000	242	353949	27822	1079	2438	0.5430873084501652	0.6071166380789023	0.07860454472254477	0.006887997988410759	25.78498609823911
50	mTqKTE3mxdg	2020-03-28	UCH8OTOBqGHGgEg94lHD3wOA	ЭКО-УЖАСЫ. Соя, джунгли и будущее планеты. Экология потребления	Борис Цацулин	3	49027539	633000	188	104529	7865	250	1014	0.411982277906625	0.16513270142180095	0.07524227726276918	0.009700657233877679	31.46
51	UGCcSX7lO_w	2020-04-14	UCcocso2XsBvfSFQkTKrBqpg	Экология микроорганизмов.Синтия- бомба замедленного действия	ПОПУЛЯРНАЯ МИКРОБИОЛОГИЯ И ЗОЖ	3	233913	3300	385	527	41	1	9	0.18411097992916176	0.1596969696969697	0.0777988614800759	0.017077798861480076	41.0
52	m7Mvn0bKG4k	2019-11-25	UCG1i_bM5A4JMNjBszBOCasw	Экология Краснодарского края / Евгений Витишко	Открытый Университет	3	4937644	92200	297	2421	150	3	8	0.1803152274735789	0.026258134490238613	0.061957868649318466	0.003304419661296985	50.0
53	yHkTCNU-rxA	2020-03-11	UC8x9rRRAxkPHNBWQjrmb6ug	Экология - специальности будущего. Экологические профессии будущего - видео атлас профессий будущего	Бутик Идей - как стать фрилансером	3	1996714	42600	2009	8580	256	14	38	0.023330622527265803	0.20140845070422536	0.029836829836829837	0.004428904428904429	18.285714285714285
54	gsZSuNVgAak	2016-08-02	UCsT0YIqwnpJCM-mx7-gSA4Q	Экология, которую можно измерить | Вадим Радзивилл | TEDxNiamiha	TEDx Talks	3	6082088510	33400000	173772	2580	67	0	0	0.001047915995576005	7.724550898203593e-05	0.025968992248062015	0.0	inf
55	i2XbO0Kr4E8	2021-07-08	UCjbHdygIxntQacvSxNBOwUA	Лекция: &quot;Качество воздуха в доме. Экология спальни!&quot;	Козак Tsogo	3	11887	99	74	117	10	0	1	1.6225771225771226	1.1818181818181819	0.08547008547008547	0.008547008547008548	inf
56	u_AP2UWoZB0	2015-03-23	UCcI_jpAZtOsdlKV_AEqxcVw	А 2.22 Экология человека и экологические проблемы - Философия науки для аспирантов	Philoso FAQ	3	4733811	46000	946	4271	64	1	5	0.10878322915709164	0.09284782608695652	0.014984781081713885	0.0011706860220088973	64.0
57	ln9A2FqcjQw	2021-07-08	UCUHiG12vVdFb88fwFK0Ge9Q	Экология Норильска — мнение специалиста | Бранч с ученым#2 — Николай Юркевич	Политехнический музей	3	1576141	13400	527	339	17	0	0	0.22319252881701548	0.025298507462686567	0.05014749262536873	0.0	inf
58	_HbEl-2n5AQ	2021-07-10	UCr2EXJtFMunvG0CmYE3Tj8A	НЕФТЬ и ЭКОЛОГИЯ. Спасут ли нас электромобили?	Асафьев Стас	3	254515088	1380000	341	7567341	336427	15362	55408	0.5408540269454716	5.483580434782609	0.044457756033460104	0.007321990643741309	21.899947923447467
59	u_AP2UWoZB0	2015-03-23	UCcI_jpAZtOsdlKV_AEqxcVw	А 2.22 Экология человека и экологические проблемы - Философия науки для аспирантов	Philoso FAQ	5	4733811	46000	946	4271	64	1	5	0.10878322915709164	0.09284782608695652	0.014984781081713885	0.0011706860220088973	64.0
60	aFKc6zTz0Uk	2021-08-04	UC5TnUtfEl_2YvIP0tl3ok9g	Очистка пляжей и проблема загрязнения водный ресурсов. Экология	MOTTAINAI	5	83097	0	19	9664	156	0	1	inf	inf	0.016142384105960264	0.00010347682119205298	inf
61	yHkTCNU-rxA	2020-03-11	UC8x9rRRAxkPHNBWQjrmb6ug	Экология - специальности будущего. Экологические профессии будущего - видео атлас профессий будущего	Бутик Идей - как стать фрилансером	3	1996714	42600	2009	8580	256	14	38	0.023330622527265803	0.20140845070422536	0.029836829836829837	0.004428904428904429	18.285714285714285
62	_HbEl-2n5AQ	2021-07-10	UCr2EXJtFMunvG0CmYE3Tj8A	НЕФТЬ и ЭКОЛОГИЯ. Спасут ли нас электромобили?	Асафьев Стас	3	254515088	1380000	341	7567341	336427	15362	55408	0.5408540269454716	5.483580434782609	0.044457756033460104	0.007321990643741309	21.899947923447467
63	WL5ZBU5Om7k	2019-06-19	UCSPd93is2UQsd_jZ6yHBfqQ	Экология Арктики — Евгений Ваганов / ПостНаука	ПостНаука	3	115235620	1060000	3626	3577	125	19	7	0.029981480710591223	0.0033745283018867924	0.0349454850433324	0.0019569471624266144	6.578947368421052
64	u_AP2UWoZB0	2015-03-23	UCcI_jpAZtOsdlKV_AEqxcVw	А 2.22 Экология человека и экологические проблемы - Философия науки для аспирантов	Philoso FAQ	3	4733811	46000	946	4271	64	1	5	0.10878322915709164	0.09284782608695652	0.014984781081713885	0.0011706860220088973	64.0
65	ODwAN7wU-XY	2021-09-07	UCDu-KllfPpJaPmAk0nfvtYg	ЧАСТЬ 1. Глобальное потепление (изменение климата) – главный миф XXI века.  ЭКОНОМИКА | ЭКОЛОГИЯ	ЦИКАНОВ	3	66569	300	5	15361	124	13	21	44.379333333333335	51.20333333333333	0.008072391120369768	0.0013670984961916541	9.538461538461538
66	k2V9XuO5mmM	2020-08-13	UC0K51uvNLFTZe-qQ7HqGSaw	Экогильдия МГУ. Какое значение для людей имеет экология? Что я могу сделать для сохранения природы?	Инноваторы	3	164979	4390	138	3499	38	2	16	0.2723234624145786	0.7970387243735763	0.010860245784509859	0.004572735067162046	19.0
67	wYPOddiD4wM	2019-07-16	UCwjgVI9EN_5ZbaO1cpMzTpw	Что такое экотуризм? Эко путешествие: оно того стоит?	Геотопия: основано на реальных событиях 	3	1006563	7940	350	1619	39	2	6	0.3622033105433609	0.20390428211586903	0.024088943792464484	0.0037059913526868438	19.5
68	AtleEy_J6w8	2018-09-01	UCg_ClKBcruAdS-ygC8Zs8rg	ЭКОТУРИЗМ/КАК ЖИЛИ НА РУСИ 150 лет назад? МАНДРОГИ Деревня в Русском Стиле/РУССКАЯ ГЛУБИНКА	Заметки ютубера	3	199948	2510	402	710	39	0	51	0.19816059146498582	0.28286852589641437	0.054929577464788736	0.07183098591549296	inf
69	eDNSqqr4cJM	2021-06-25	UCF4Bw6ZYmqdi2K8fAwU56mQ	ЭКОТУРИЗМ и внук ЕГОР, ЖИВУ на СЕЛЕ	ЖИВУ на СЕЛЕ*СЕЛЯНИН	3	110160	537	307	35	9	0	16	0.668207377213255	0.06517690875232775	0.2571428571428571	0.45714285714285713	inf
70	bjngFIOZ_DI	2015-11-17	UCFcbDEhEesjG0ii-tjeZfAw	Экотуризм туры	Владилен Елеонский	3	516	1	5	74	1	0	0	103.2	74.0	0.013513513513513514	0.0	inf
71	NNVCJRJrIiQ	2017-07-03	UC-Tj5rorVRIKxIAvCqxiS9Q	Соцреклама 30 сек - экотуризм в Беларуси	Зеленая Экономика	3	10022	34	78	197	6	0	0	3.7790346907993966	5.794117647058823	0.030456852791878174	0.0	inf
72	fdWu56kUDAU	2020-12-03	UC25VTw3egtrpU0LA9apduqQ	«Междуреченск. Город Тайги» - проект развития экотуризма	Sunlight	3	7928	0	6	40	1	0	0	inf	inf	0.025	0.0	inf
73	dLRXjuNFmsU	2020-09-28	UCdLE9epD_Ru1jrP5z3GL98g	Заповедники и национальные парки России, школьный проект по окружающему миру 4 класс	Дарья Джерихова	5	930333	3370	446	1060	6	6	0	0.6189757953985975	0.314540059347181	0.005660377358490566	0.0	1.0
74	dLRXjuNFmsU	2020-09-28	UCdLE9epD_Ru1jrP5z3GL98g	Заповедники и национальные парки России, школьный проект по окружающему миру 4 класс	Дарья Джерихова	3	930333	3370	446	1060	6	6	0	0.6189757953985975	0.314540059347181	0.005660377358490566	0.0	1.0
